,name,category,cost,rating,num_of_rates,open_hours,Wi-Fi,Десерт,Паркувальний майданчик для людей на інвалідних візках,Години знижок на їжу,Підходить для сімейного відпочинку,Пізні вечері,Дитяче меню,Є вегетаріанські страви,Дебетові картки,Салат-бар,Пиво,Груповий відпочинок,Органічні страви,Камін,Обіди,Оплата лише готівкою,Халяльна їжа,Затишне місце,Туалет,Невимушена атмосфера,Бар,Туалет із доступом для інвалідів,Високі стільці,Спортивні змагання,"Компанії, якими керують жінки",Мобільні платежі через NFC,Доставка,Місця для сидіння,Підходить для дітей,Вхід для людей на інвалідних візках,Місця для людей на інвалідних візках,Жива музика,Вечері,Сніданки,Кредитні картки,Літній майданчик,Чеки,Вино,Смачні коктейлі
60,Біголі,Ресторан італійської кухні,$$$,"4,7",(972),08:00–00:00,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0
61,Кувшин,Ресторан грузинської кухні,$$$,"4,6",(2 050),11:00–00:00,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0
62,Ресторан “Прага”,Ресторан,$$$$,"4,6",(2 681),09:00–00:00,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1
63,Шоті,Ресторан грузинської кухні,$$$,"4,7",(1 357),12:00–23:00,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0
64,"Ресторан-піцерія ""il Molino""",Піцерія,$$,"4,4",(1 154),11:00–23:00,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1
65,Первак,Ресторан української кухні,$$,"4,6",(4 238),11:00–00:00,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0
66,Колиба,Ресторан української кухні,$$,"4,5",(535),12:00–00:00,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
67,Суши wok,Ресторан суші,$$,"3,9",(425),10:00–23:00,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0
68,Fish Dash,Ресторан середземноморської кухні,$$,"4,6",(313),12:00–01:00,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
69,Смородина,Ресторан м'ясних страв,$$$,"4,4",(1 976),12:00–00:00,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1
